ac_number,party_21,share_21,turnout_21,reserved,region,party_26,share_26,constituency,district,region_master,margin_21,mpct_21,margin_26,mpct_26,flipped,margin_change
223,AIADMK,36.44,77.4,GEN,South,DMK,31.32,Alangulam,Tirunelveli,South,3539,1.74,7798,3.53,True,4259
224,BJP,46.7,66.91,GEN,South,TVK,34.72,Tirunelveli,Tirunelveli,South,23107,11.69,11414,5.23,True,-11693
225,AIADMK,47.96,72.03,GEN,South,AIADMK,34.3,Ambasamudram,Tirunelveli,South,16915,9.52,10245,5.36,False,-6670
226,DMK,55.32,57.76,GEN,South,DMK,44.15,Palayamcottai,Tirunelveli,South,52141,32.37,13805,7.64,False,-38336
227,INC,39.43,68.59,GEN,South,TVK,35.79,Nanguneri,Tirunelveli,South,16486,8.56,16419,7.84,True,-67
228,DMK,43.95,68.08,GEN,South,TVK,34.99,Radhapuram,Tirunelveli,South,5925,3.16,12313,6.16,True,6388
229,AIADMK,48.8,75.19,GEN,South,AIADMK,31.38,Kanniyakumari,Kanniyakumari,South,16213,7.21,214,0.09,False,-15999
230,BJP,48.21,67.06,GEN,South,DMK,35.6,Nagercoil,Kanniyakumari,South,11669,6.34,7570,3.86,True,-4099
231,INC,49.56,67.27,GEN,South,INC,33.27,Colachel,Kanniyakumari,South,24832,13.57,2833,1.42,False,-21999
232,DMK,51.57,70.08,GEN,South,CPI(M),38.18,Padmanabhapuram,Kanniyakumari,South,26885,15.8,15569,8.62,True,-11316
233,INC,52.12,66.83,GEN,South,INC,40.45,Vilavancode,Kanniyakumari,South,28669,17.08,20970,11.99,False,-7699
234,INC,59.76,65.87,GEN,South,INC,37.42,Killiyoor,Kanniyakumari,South,55400,32.6,1311,0.74,False,-54089
